エリア,エリア詳細,名称,入場方式,所要時間,備考
エンパワーリングゾーン,大屋根リング内右部,アイルランド,・,30,
エンパワーリングゾーン,大屋根リング内右部,アメリカ,,25,
エンパワーリングゾーン,大屋根リング内右部,アラブ,・,15,
エンパワーリングゾーン,大屋根リング内右部,オーストリア,,30,
エンパワーリングゾーン,大屋根リング内右部,カタール,,25,
エンパワーリングゾーン,大屋根リング内右部,カナダ,当予約・先着,15,
エンパワーリングゾーン,大屋根リング内右部,クウェート,当予約・先着,30,
エンパワーリングゾーン,大屋根リング内右部,コモンズA,,-,
エンパワーリングゾーン,大屋根リング内右部,コロンビア,・,20,
エンパワーリングゾーン,大屋根リング内右部,スイス,,20,
エンパワーリングゾーン,大屋根リング内右部,フィリピン,,30,
エンパワーリングゾーン,大屋根リング内右部,ブラジル,,20,
エンパワーリングゾーン,大屋根リング内右部,フランス,,25,
エンパワーリングゾーン,大屋根リング内右部,ベトナム,,15,
エンパワーリングゾーン,大屋根リング内右部,ペルー,,15,
エンパワーリングゾーン,大屋根リング内右部,ポルトガル,,14,
エンパワーリングゾーン,大屋根リング内右部,マレーシア,・,19,
エンパワーリングゾーン,大屋根リング内右部,ミャクミャクハウス,,-,
エンパワーリングゾーン,大屋根リング内右部,モザンビーク,,30,
エンパワーリングゾーン,大屋根リング内右部,ヨルダン,,10,
エンパワーリングゾーン,大屋根リング内右部,ロボット＆モビリティ,,30,
エンパワーリングゾーン,大屋根リング内右部,空飛ぶ車,当日予約,40,
エンパワーリングゾーン,大屋根リング内右部,中国,,30,
コネクティングゾーン,大屋根リング内上部,アゼルバイジャン,,20,
コネクティングゾーン,大屋根リング内上部,インド,,30,
コネクティングゾーン,大屋根リング内上部,インドネシア,,30,
コネクティングゾーン,大屋根リング内上部,ウズベキスタン,,20,
コネクティングゾーン,大屋根リング内上部,エジプト,,10,
コネクティングゾーン,大屋根リング内上部,オーストラリア,当予約・先着,15,
コネクティングゾーン,大屋根リング内上部,コモンズB,,-,
コネクティングゾーン,大屋根リング内上部,コモンズF,,15（カザフスタン）,
コネクティングゾーン,大屋根リング内上部,サウジアラビア,,25,
コネクティングゾーン,大屋根リング内上部,スペイン,,30,
コネクティングゾーン,大屋根リング内上部,セネガル,,20,
コネクティングゾーン,大屋根リング内上部,セルビア,・,30,
コネクティングゾーン,大屋根リング内上部,タイ,当予約・先着,30,
コネクティングゾーン,大屋根リング内上部,デジタルウォレット,,-,
コネクティングゾーン,大屋根リング内上部,ドイツ,,40,
コネクティングゾーン,大屋根リング内上部,トルコ,,20,
コネクティングゾーン,大屋根リング内上部,ネパール,,×,
コネクティングゾーン,大屋根リング内上部,バングラデシュ,,20,
コネクティングゾーン,大屋根リング内上部,モナコ,,60,
コネクティングゾーン,大屋根リング内上部,ルクセンブルク,,30,
コネクティングゾーン,大屋根リング内上部,大韓民国,当予約・先着,20,
コネクティングゾーン,大屋根リング内上部,夜の地球,,20,
シグネチャーゾーン,大屋根リング内中央下部,BetterCo-Being,当日予約,45,
シグネチャーゾーン,大屋根リング内中央下部,EARTHMART,当日予約,40,
シグネチャーゾーン,大屋根リング内中央下部,null,当日予約,30,
シグネチャーゾーン,大屋根リング内中央下部,いのちのあかし,当予約・先着・自由（一部）,55,
シグネチャーゾーン,大屋根リング内中央下部,いのちのパーク,？,-,
シグネチャーゾーン,大屋根リング内中央下部,いのちの未来,当日予約,60,
シグネチャーゾーン,大屋根リング内中央下部,いのちめぐる冒険,・（）,50,
シグネチャーゾーン,大屋根リング内中央下部,ウォータープラザ,？,-,
シグネチャーゾーン,大屋根リング内中央下部,クラゲ館,当日予約・自由（一部）,37,
シグネチャーゾーン,大屋根リング内中央下部,平衡館,当日予約,15,
セービングゾーン,大屋根リング内左部,EU,当予約・先着,15,
セービングゾーン,大屋根リング内左部,アルジェリア,,20,
セービングゾーン,大屋根リング内左部,アンゴラ,,-,
セービングゾーン,大屋根リング内左部,イタリア,当予約・先着,30,
セービングゾーン,大屋根リング内左部,オマーン,,15,
セービングゾーン,大屋根リング内左部,オランダ,当日予約・（9：00〜11：00のみ）,25,
セービングゾーン,大屋根リング内左部,カンボジア,,15,
セービングゾーン,大屋根リング内左部,コモンズD,,-,
セービングゾーン,大屋根リング内左部,コモンズE（）,,5,
セービングゾーン,大屋根リング内左部,シンガポール,,20,
セービングゾーン,大屋根リング内左部,チュニジア,,30,
セービングゾーン,大屋根リング内左部,チリ,,15,
セービングゾーン,大屋根リング内左部,バルト（ラトビア・リトアニア）,,20,
セービングゾーン,大屋根リング内左部,ハンガリー,当予約・先着,15,
セービングゾーン,大屋根リング内左部,ブルガリア,,20,
セービングゾーン,大屋根リング内左部,ベルギー,,25,
セービングゾーン,大屋根リング内左部,ポーランド,当日予約・（）？,40,
セービングゾーン,大屋根リング内左部,ルーマニア,・,30,
セービングゾーン,大屋根リング内左部,イギリス,,20,
西ゲートゾーン,西ゲート付近,BLUEOCEAN,・（）,30,
西ゲートゾーン,西ゲート付近,PASONA,当日予約・先着△,30,
西ゲートゾーン,西ゲート付近,TECHWORLD,当日予約・先着△,30,
西ゲートゾーン,西ゲート付近,おばけワンダーランド,当日予約・先着△・自由（一部）,40,
西ゲートゾーン,西ゲート付近,よしもと,,30,
西ゲートゾーン,西ゲート付近,宴,,20,
西ゲートゾーン,西ゲート付近,飯田グループ,当日予約・先着△,45,
静けさの森ゾーン,大屋根リング内中央部,未来食堂,？,-,
東ゲートゾーン,東ゲート付近,NTT,・（）,30,
東ゲートゾーン,東ゲート付近,ウーマンズ,当日予約・先着△,30,
東ゲートゾーン,東ゲート付近,ノモの国,当日予約,60,
東ゲートゾーン,東ゲート付近,ヘルスケア,当予約・先着・自由（一部）,60,
東ゲートゾーン,東ゲート付近,関西,当日予約,60,
東ゲートゾーン,東ゲート付近,三菱未来館,当日予約・先着△,60,
東ゲートゾーン,東ゲート付近,住友館,当日予約・先着△,65,
東ゲートゾーン,東ゲート付近,電力館,当日予約,45,
東ゲートゾーン,東ゲート付近,日本館,・（）,40,
エンパワーリングゾーン,大屋根リング内右部,チェコ,,30,
エンパワーリングゾーン,大屋根リング内右部,マルタ,,20,
エンパワーリングゾーン,大屋根リング内右部,北欧館,,20,
エンパワーリングゾーン,大屋根リング内右部,トルクメニスタン,,20,
エンパワーリングゾーン,大屋根リング内右部,バーレーン,,20,
エンパワーリングゾーン,大屋根リング内右部,当日登録センター,,-,
エンパワーリングゾーン,大屋根リング内右部,国際赤十字,当日予約,30,
エンパワーリングゾーン,大屋根リング内右部,国際機関館,,-,
ゲートゾーン,ゲート,GUNDAM,当日予約,50,
フューチャーライフゾーン,ゲートさらに,の,当日予約・先着△,35,
エンパワーリングゾーン,大屋根リング内右部,,当日予約・先着,20,
